Stock,Entry Date,Entry Price,Exit Date,Exit Price,P&L (%),Days Held,Outcome
AIAENG.NS,2022-12-27,2600.82,2023-01-10,2470.78,-5.0,14,Stop Loss
AIAENG.NS,2025-04-28,3254.46,2025-05-05,3091.74,-5.0,7,Stop Loss
APLAPOLLO.NS,2020-09-02,242.62,2020-09-04,230.49,-5.0,2,Stop Loss
APLAPOLLO.NS,2021-03-04,627.55,2021-03-08,690.3,10.0,4,Target Hit
APLAPOLLO.NS,2021-04-23,635.25,2021-05-14,603.49,-5.0,21,Stop Loss
APLAPOLLO.NS,2021-08-25,779.15,2021-09-07,857.06,10.0,13,Target Hit
APLAPOLLO.NS,2021-12-21,1034.0,2021-12-27,982.3,-5.0,6,Stop Loss
APLAPOLLO.NS,2022-02-01,870.19,2022-02-14,826.68,-5.0,13,Stop Loss
APLAPOLLO.NS,2022-03-15,907.64,2022-04-06,998.4,10.0,22,Target Hit
APLAPOLLO.NS,2022-02-28,837.22,2022-03-16,920.94,10.0,16,Target Hit
APLAPOLLO.NS,2022-02-25,834.4,2022-02-25,792.68,-5.0,0,Stop Loss
APLAPOLLO.NS,2022-03-10,869.08,2022-03-21,955.99,10.0,11,Target Hit
APLAPOLLO.NS,2022-05-31,959.08,2022-05-31,911.13,-5.0,0,Stop Loss
APLAPOLLO.NS,2022-05-13,860.6,2022-05-13,817.57,-5.0,0,Stop Loss
APLAPOLLO.NS,2022-05-23,920.21,2022-05-23,874.2,-5.0,0,Stop Loss
APLAPOLLO.NS,2022-07-29,951.82,2022-08-04,1047.0,10.0,6,Target Hit
APLAPOLLO.NS,2023-07-31,1558.75,2023-07-31,1480.81,-5.0,0,Stop Loss
APLAPOLLO.NS,2024-04-24,1572.0,2024-05-13,1493.4,-5.0,19,Stop Loss
APLAPOLLO.NS,2024-05-13,1560.17,2024-05-13,1482.16,-5.0,0,Stop Loss
APLAPOLLO.NS,2024-10-16,1594.21,2024-10-22,1514.5,-5.0,6,Stop Loss
APLAPOLLO.NS,2024-10-31,1540.61,2024-11-14,1463.58,-5.0,14,Stop Loss
APLAPOLLO.NS,2025-04-17,1592.63,2025-05-15,1751.89,10.0,28,Target Hit
APLAPOLLO.NS,2025-05-12,1696.57,2025-06-04,1866.23,10.0,23,Target Hit
AUBANK.NS,2020-06-30,276.22,2020-06-30,262.41,-5.0,0,Stop Loss
AUBANK.NS,2020-07-27,402.05,2020-07-27,381.95,-5.0,0,Stop Loss
AUBANK.NS,2020-09-25,322.33,2020-10-06,354.56,10.0,11,Target Hit
